modality,coord_dim1,contrib_dim1_%
ring-type__l,1.7280895082370173,6.679591278018286
stalk-surface-below-ring__k,1.2702138502807538,6.415766995637723
stalk-surface-above-ring__k,1.21915160004272,6.084747082285978
odor__f,1.2135958456646334,5.4905308219751
spore-print-color__h,1.3332977623480562,5.007107036543509
ring-type__p,-0.6673891003944751,3.0502982330980273
bruises__t,-0.6537750389025404,2.4904138840398415
stalk-color-below-ring__b,1.795063396523023,2.4024576997257263
stalk-color-above-ring__b,1.7849493099786597,2.375461203592941
odor__n,-0.6221883530141465,2.3571365991072217
stalk-color-above-ring__n,1.719408600595646,2.2858547155504336
habitat__p,1.042664524778259,2.1464839229106176
stalk-surface-above-ring__s,-0.4868999021199378,2.1178054550091083
stalk-color-below-ring__n,1.5049199644974747,2.0012861450510413
stalk-surface-below-ring__s,-0.4828622875121781,1.986251080452568
